pulsd_title,pulsd_price,pulsd_url,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary
"$29 LES Dinner For 2 & Cocktails,Wines,Beers",29,pulsd.com/new-york/promotions/the-mayfly-restaurant-dinner-lower-east-side-nyc,4.6,231,The Mayfly,"269 E Houston Street, New York, NY 10002","People say this bar offers delicious food, including wings, truffle fries, and flatbreads, and a variety of cocktails, including a Last Word. They highlight the fun atmosphere, great deals, especially during happy hour, and the comfortable space. They also like the friendly and accommodating staff."
$29 Boozy Sundae Making Class,29,pulsd.com/new-york/promotions/tipsy-scoop-boozy-ice-cream-sundae-decorating-classes-nyc,4.6,1662,Tipsy Scoop Manhattan,"217 E 26th Street, New York, NY 10010","Ice people say this ice cream shop offers unique flavors like bourbon, whiskey, and Mexican hot chocolate with tequila, alongside more traditional options like cherry cheesecake. They also highlight the friendly and helpful staff, and the massive portions."
$25 2 Course Sushi Experience for Two,25,pulsd.com/new-york/promotions/makimaki-sushi-nyc,4.6,270,MakiMaki,"360 Lexington Avenue, New York, NY 10017","People say this sushi restaurant offers fresh hand rolls, maki, and a lunch special. They highlight the reasonable prices, convenient location, and clean, chic atmosphere. They also like the friendly and helpful staff, and the fast service."
6Crs Fine Dining Dinner Bus Tour Around NYC,,pulsd.com/new-york/promotions/bustronome-fine-dining-bus-tour-nyc,4.5,61,Bustronome,"988 8th Avenue, New York, NY 10019","People say this restaurant offers a unique dining experience with delicious food and stunning views of New York City landmarks. They highlight the memorable and romantic atmosphere, and the attentive and friendly service. They also like the smooth and enjoyable experience from start to finish."
54% Off A 90 Minute Bottomless Brunch For Two,,pulsd.com/new-york/promotions/skinos-mediterranean-bottomless-brunch-nyc,4.5,1526,Skinos Mediterranean,"123 Washington Street, New York, NY 10006","People say this Greek restaurant serves delicious seafood pasta, lamb chops, and duck pasta, as well as appetizers like shrimp and moussaka croquettes. They highlight the vibrant, flowery, and clean atmosphere, perfect for celebrations, and the fun, lively vibe with a live DJ and belly dancer. They also like the attentive, friendly, and generous service, with staff constantly checking in and making guests feel welcome."
$109: 3 Course Dinner + Murder Mystery Show,109,pulsd.com/new-york/promotions/carmines-dinner-restaurant-nyc,4.5,18394,Carmine's,"200 W 44th Street, New York, NY 10036","People say this Italian restaurant serves delicious dishes like chicken parm, lasagna, and penne alla vodka. They highlight the generous, family-style portions, making it ideal for large groups, and the classic, old-school Italian atmosphere. They also like the friendly and attentive service."
"$99 Chic Afternoon Tea for Two, NoMad",99,pulsd.com/new-york/promotions/sahola-cafe-afternoon-tea-nyc,4.5,164,Sahola Cafe,"108 E 31st Street, New York, NY 10016","People say this coffee shop offers delicious lattes, cappuccinos, and pastries, including croissants and apple strudel. They highlight the cozy and charming atmosphere, with unique floral decor and a peaceful patio, perfect for reading, working, or meeting up with friends. They also like the friendly and welcoming staff."
"$85: 3 Course Dinner For 2 & Cocktails, Wines",85,pulsd.com/new-york/promotions/yara-dinner-restaurant-nyc,4.5,790,Yara,"319 E 53rd Street, New York, NY 10022","People say this Mediterranean restaurant serves delicious and authentic Lebanese food, including flavorful filet mignon, mixed grill, and falafel. They highlight the generous portion sizes, fresh ingredients, and the beautiful, modern atmosphere, perfect for large groups and celebrations. They also like the friendly and attentive service."
$79: 3 Course Dinner For Two + Wine Bottle,79,pulsd.com/new-york/promotions/alison-nyc-dinner-restaurant,4.5,526,Alison,"1651 Lexington Avenue, New York, NY 10029","People say this American restaurant serves delicious dishes, including steak, pastries, pizza, and a variety of brunch options. They highlight the good vibes, relaxed atmosphere, and fair prices. They also like the attentive service."
"$79 3 Course Dinner For Two w Cocktails, Wine",79,pulsd.com/new-york/promotions/josephs-restaurant-dinner-nyc,4.5,369,Joseph's Restaurant,"3 Hanover Square, New York, NY 10004","People say this Northern Italian restaurant serves delicious hangar steak, tricolori salad, and chicken martini. They highlight the fresh, flavorful, and perfectly prepared food, and the beautiful, quaint, and cozy atmosphere. They also like the attentive, helpful, and friendly service."
$79 3 Course Dinner For 2 & Wines/Beers,79,pulsd.com/new-york/promotions/farida-dinner-restaurant-nyc,4.5,1937,Farida,"32 Cedar Street, New York City, NY 10005","People say this restaurant serves delicious Uzbek, Kazakh, and Central Asian cuisine, including plov, shashlyk, and manti. They highlight the authentic and flavorful dishes, and the generous portions. They also like the cozy and colorful atmosphere, and the friendly and attentive service."
$75: 3 Course Dinner For Two & Bottle Of Wine,75,pulsd.com/new-york/promotions/best-south-african-restaurant-kaia-nyc,4.5,657,Kaia Restaurant & Wine Bar,"1614 3rd Avenue, New York, NY 10128","People say this wine bar offers a great selection of South African wines and delicious food, including sliders, entrees, and desserts. They highlight the relaxed vibe, perfect for a leisurely drink and/or meal, and the excellent happy hour deals. They also like the friendly and informative service."
$69 3Crs Dinner For 2 & Cocktails/Wines,69,pulsd.com/new-york/promotions/old-fashion-cafe-dinner-restaurant-nyc,4.5,288,Old Fashion Cafe,"110 Thompson Street, New York, NY 10012","People say this Italian restaurant serves delicious omelets, avocado toast, and hamburgers. They highlight the cozy and intimate atmosphere, and the good drinks and music. They also like the attentive and efficient service."
$59 3 Course Dinner for 2 & Carafe of Wine,59,pulsd.com/new-york/promotions/lunella-dinner-nyc,4.5,1989,Lunella,"173 Mulberry Street, New York, NY 10013","Diners say this Italian restaurant serves up delicious and authentic Italian food, including ravioli, spaghetti and meatballs, and fettuccine Alfredo. They also highlight the friendly and attentive service, and the charming and welcoming atmosphere.

Some reviews mention the staff can be impolite."
$59 Michelin-Praised Cocktail Brunch For Two,59,pulsd.com/new-york/promotions/le-fanfare-cocktail-brunch-restaurant-nyc,4.5,654,Le Fanfare,"1103 Manhattan Avenue, Brooklyn, NY 11222","People say this Italian restaurant serves fresh, tasty, and amazing food, including house-made pasta, and offers a variety of dishes. They highlight the generous portions, the delicious bread and spreads, and the attentive and responsive staff. They also like the welcoming and warm atmosphere, and the attentive, caring, and professional service."
$59: 3 Course Dinner For Two & Wine Bottle,59,pulsd.com/new-york/promotions/czen-restaurant-dinner-restaurant-nyc,4.5,1168,CZEN Restaurant,"4410 Avenue H, Brooklyn, NY 11234","People say this Asian fusion restaurant serves delicious oxtail dumplings, sushi rolls, and jerk chicken with udon. They highlight the food is worth the price and the music creates a lively vibe. They also like the attentive and friendly staff."
$49 Dinner For Two With 4 Cocktails,49,pulsd.com/new-york/promotions/fusion-hk-hells-kitchen-nyc,4.5,958,Fusion HK,"688 10th Avenue, New York, NY 10019","People say this bar and grill serves delicious ceviche, arroz chaufa, and tacos, and offers a variety of drinks, including margaritas and pisco sours. They highlight the generous portions, good value, and fun vibes with cactus margarita glasses and large drink options. They also like the friendly and attentive staff, and the excellent service."
$49: 90Min AYCE Tacos & Bottomless Drinks,49,pulsd.com/new-york/promotions/ms-yoo-all-you-can-eat-bottomless-taco-thursdays-dinner,4.5,373,Ms Yoo,"163 Allen Street, New York, NY 10002","People say this cocktail bar offers delicious drinks and tasty food. They highlight the fun and lively vibe, and the friendly, flexible, and attentive staff. They also like the smooth transition from dinner to late-night with a DJ."
"$49 Bottomless Brunch for Two, West Village",49,pulsd.com/new-york/promotions/via-13-bottomless-brunch-restaurant-west-village-nyc,4.5,1209,Via 13,"140 West 13th Street, New York, NY 10011","People say this Italian restaurant serves delicious grilled octopus, hanger steak, and tiramisu. They highlight the great brunch deal, fun and creative family-style brunch, and the sophisticated atmosphere. They also like the attentive and friendly service."
$49 3 Course Bottomless Brunch For Two,49,pulsd.com/new-york/promotions/lunella-bottomless-brunch-nyc,4.5,1989,Lunella,"173 Mulberry Street, New York, NY 10013","Diners say this Italian restaurant serves up delicious and authentic Italian food, including ravioli, spaghetti and meatballs, and fettuccine Alfredo. They also highlight the friendly and attentive service, and the charming and welcoming atmosphere.

Some reviews mention the staff can be impolite."
$49 2Crs Dinner For 2 + Wines/Beers/Sake,49,pulsd.com/new-york/promotions/the-corner-chinese-restaurant-dinner-nyc,4.5,406,The Corner Chinese Restaurant,"698 9th Avenue, New York, NY 10036","People say this Chinese restaurant serves delicious sesame chicken, wonton soup, and eggplant. They also highlight the generous portions, reasonable prices, and clean, cozy atmosphere.

Other reviews mention the food can be overcooked."
$49 Dinner For Two & A Bottle of Wine,49,pulsd.com/new-york/promotions/pizzette-dinner-nyc,4.5,247,Pizzette,"191 Graham Avenue, Brooklyn, NY 11206","People say this Italian restaurant serves delicious pizza, pasta, and house-made burrata. They highlight the fun, bright, and intimate vibe, and the strong, balanced drinks. They also like the friendly and attentive service."
"$39 3 Course Dinner for Two With Wines, Beers",39,pulsd.com/new-york/promotions/bombay-grill-house-dinner-restaurant-nyc,4.5,1341,Bombay Grill House,"764 9th Avenue, New York, NY 10019","People say this Indian restaurant serves delicious chicken tikka masala, naan, and lamb biryani. They highlight the reasonable prices and fun neighborhood. They also like the friendly and attentive staff."
$39 90m 2 Course Bottomless Brunch For Two,39,pulsd.com/new-york/promotions/tia-pol-bottomless-brunch-restaurant-nyc,4.5,682,Tia Pol,"205 10th Avenue, New York, NY 10011","People say this Spanish restaurant serves flavorful tapas and delicious sangria. They highlight the warm and cozy atmosphere, perfect for a casual evening with good food and good company. They also like the friendly and accommodating staff."
$39: 90 Minute Bottomless Brunch For Two,39,pulsd.com/new-york/promotions/ange-noir-bottomless-brunch-restaurant-nyc,4.5,435,Ange Noir,"247 Varet Street, Brooklyn, NY 11206","People say this coffee shop serves delicious breakfast sandwiches, burritos, and crepes, as well as a variety of coffee and tea drinks. They highlight the reasonable prices, cozy and chill atmosphere, and the friendly and welcoming service. They also like the creative energy and the events hosted at the cafe."
$39 Marvelous Cocktail Brunch For Two,39,pulsd.com/new-york/promotions/fusion-hk-hells-kitchen-brunch,4.5,958,Fusion HK,"688 10th Avenue, New York, NY 10019","People say this bar and grill serves delicious ceviche, arroz chaufa, and tacos, and offers a variety of drinks, including margaritas and pisco sours. They highlight the generous portions, good value, and fun vibes with cactus margarita glasses and large drink options. They also like the friendly and attentive staff, and the excellent service."
$39 Dinner For 2 & Bottle Of Wine,39,pulsd.com/new-york/promotions/kaskade-dinner-nyc,4.5,188,Kaskade,"123 Greenpoint Avenue, Brooklyn, NY 11222",
"$39 For A Bottomless Brunch For Two, Midtown",39,pulsd.com/new-york/promotions/bombay-grill-house-bottomless-brunch-restaurant-nyc,4.5,1341,Bombay Grill House,"764 9th Avenue, New York, NY 10019","People say this Indian restaurant serves delicious chicken tikka masala, naan, and lamb biryani. They highlight the reasonable prices and fun neighborhood. They also like the friendly and attentive staff."
$39 For A Luxurious Brunch For Two,39,pulsd.com/new-york/promotions/da-capo-brunch-restaurant-nyc,4.5,493,Da Capo,"322 Columbus Avenue, New York, NY 10023","People say this cocktail bar offers delicious cocktails, including the Big in Japan, and a salmon burger. They highlight the chill, dark, and intimate vibe, and the friendly and knowledgeable bartenders. They also like the attentive service."
"$29 Dinner For 2 + Wines/Beers, Flatiron",29,pulsd.com/new-york/promotions/wok-in-the-clouds-dinner-restaurant-nyc,4.5,365,Wok In The Clouds,"127 E 28th Street, New York, NY 10016","Diners say this modern Indian restaurant serves up delicious Indo-Chinese fusion dishes, including chili paneer, chicken tikka momos, and pan-fried noodles with veg curry. They also highlight the friendly and efficient service, the reasonable prices, and the great value for money.

Some reviews mention the food can be bland."
"$29 For A Bottomless Brunch For Two, Brooklyn",29,pulsd.com/new-york/promotions/czen-restaurant-bottomless-brunch-nyc,4.5,1168,CZEN Restaurant,"4410 Avenue H, Brooklyn, NY 11234","People say this Asian fusion restaurant serves delicious oxtail dumplings, sushi rolls, and jerk chicken with udon. They highlight the food is worth the price and the music creates a lively vibe. They also like the attentive and friendly staff."
40% Off 4 Crs Dinner For Two w Cocktails/Wine,,pulsd.com/new-york/promotions/ai-fiori-dinner-restaurant-nyc,4.4,1770,Ai Fiori,"400 5th Avenue, New York, NY 10018","People say this restaurant serves delicious food, including lobster bisque, squid ink pasta, and duck. They also highlight the attentive service and nice atmosphere.

Other reviews mention the portions can be small."
7Crs Tasting Dinner Experience For 2 & Drinks,,pulsd.com/new-york/promotions/kyu-tasting-dinner-experience-restaurant-nyc,4.4,655,KYU NYC,"324 Lafayette Street , New York, NY 10012,","People say this Asian restaurant serves delicious Korean fried chicken, tuna crispy rice, and short rib. They also highlight the attentive staff, aesthetic bar, and cozy ambiance.

Other reviews mention the food can be overpriced."
"15 Crs Omakase For 2 & Cocktails, Wine, Beer",,pulsd.com/new-york/promotions/shirokuro-omakase-dinner-restaurant-nyc,4.4,248,Shirokuro,"103 2nd Avenue, New York, NY 10003","Diners say this Japanese restaurant serves up delicious omakase, with many raving about the fresh sushi, especially the eel rolls and uni sushi. They also highlight the unique and immersive 2D black-and-white design, making it feel like stepping into a living piece of art."
Sauce Revival x Pop Up Grocer,,pulsd.com/pulses/61237,4.4,127,Pop Up Grocer,"205 Bleecker Street, New York, NY 10012","People say this grocery store offers a variety of unique, local, and new brands, as well as a mini café serving coffee and matcha. They also highlight the fun and interesting products, and the kind and helpful staff.

Other reviews mention the prices can be high."
"$99: 3 Course Dinner For 2 w Cocktails, Wines",99,pulsd.com/new-york/promotions/kyu-dinner-restaurant-nyc,4.4,655,KYU NYC,"324 Lafayette Street , New York, NY 10012,","People say this Asian restaurant serves delicious Korean fried chicken, tuna crispy rice, and short rib. They also highlight the attentive staff, aesthetic bar, and cozy ambiance.

Other reviews mention the food can be overpriced."
"$89: 3 Course Dinner For 2 w Cocktails, Wines",89,pulsd.com/new-york/promotions/the-otter-dinner-restaurant-soho-nyc,4.4,84,The Otter,"58 Thompson Street , New York, NY 10012","People say this seafood restaurant serves delicious seafood platters, scallops, swordfish steak, and burgers. They highlight the fresh ingredients, complex flavors, and innovative dishes, as well as the cozy and stylish atmosphere. They also like the attentive and friendly service."
"$89 3 Course Dinner For Two & Cocktails, Wine",89,pulsd.com/new-york/promotions/kahlo-dinner-restaurant-chelsea-nyc,4.4,690,Kahlo,"525 West 29th Street, New York, NY 10001","People say this Mexican restaurant serves delicious and creative dishes, including tacos, guacamole, and branzino. They also highlight the beautiful and cozy atmosphere, and the friendly and attentive staff.

Other reviews mention the portions can be small."
"$79 3Crs Dinner For 2 with Cocktails, & Wines",79,pulsd.com/new-york/promotions/rebel-dinner-restaurant-nyc,4.4,406,Rebèl Restaurant,"29 Clinton Street, New York, NY 10002","Diners say this Haitian restaurant serves up delicious mussels, legume with shrimp, sos pwa, and herring. They also highlight the great music, clean atmosphere, and excellent customer service.

Some reviews mention the food can be overpriced."
$79 3Crs Dinner For Two & Bottle Of Wine,79,pulsd.com/new-york/promotions/ocabanon-chelsea-restaurant-dinner-nyc,4.4,774,Ocabanon,"245 West 29th Street, New York, NY 10001",
$79 3 Course Dinner For 2 w A Bottle of Wine,79,pulsd.com/new-york/promotions/alison-east-village-dinner-restaurant-nyc,4.4,54,Alison Downtown,"110 St Marks Place, New York, New York 10009","People say this bistro offers delicious oysters, chicken sliders, burgers, and fried calamari. They highlight the relaxed atmosphere, quick service, and generous portions. They also like the friendly and attentive staff."
"$69: 3 Course Dinner For 2 w Cocktails, Wines",69,pulsd.com/new-york/promotions/barano-dinner-restaurant-williamsburg-nyc,4.4,671,Barano,"26 Broadway, Brooklyn, NY 11249","People say this Italian restaurant serves delicious pasta, pizza, and meatballs. They also highlight the cozy and romantic atmosphere, and the friendly and attentive service.

Some reviews mention there can be long wait times."
"$69 3 Course Dinner For Two with Wines, Beers",69,pulsd.com/new-york/promotions/amarone-restaurant-dinner-nyc,4.4,1248,Amarone Restaurant,"686 9th Avenue , New York, NY 10036","Diners say this Italian restaurant serves up delicious pasta dishes, spinach tortellini, and a standout pear dessert. They also highlight the friendly and attentive service, and the reasonable prices.

Some reviews mention the calamari can be overcooked."
"$69 3Crs Dinner For 2 w Wine/Cocktails, Music",69,pulsd.com/new-york/promotions/au-bar-56-dinner-restaurant-nyc,4.4,108,Au Bar 56,"235 W 56th Street, New York, NY 10019","People say this restaurant offers delicious cocktails, including an espresso martini, and a variety of appetizers. They also highlight the intimate and cozy atmosphere, the live music, and the friendly and attentive service.

Other reviews mention the food can be overpriced."
"$69 MichelinGuide 3Crs Dinner For2, Wine",69,pulsd.com/new-york/promotions/il-cortile-dinner-nyc,4.4,2314,Il Cortile,"125 Mulberry Street, New York, NY 10013","Diners say this Italian restaurant serves up delicious tiramisu, eggplant parmigiana, and cheese ravioli, and they praise the beautiful back atrium and outdoor seating. They also highlight the friendly and attentive service, and the romantic and inviting atmosphere.

Some reviews mention the food can be overpriced."
$69 3Crs Dinner For 2 & Cocktails/Wines,69,pulsd.com/new-york/promotions/biricchino-dinner-restaurant-nyc,4.4,598,Biricchino,"260 W 29th Street , New York, NY 10001","Diners say this Italian restaurant serves up delicious pasta, including the pappardelle pasta funghi, and breaded chicken with arugula. They also highlight the friendly and helpful staff, and the cozy and welcoming atmosphere.

Some reviews mention the service can be slow."
$59 3 Course Hibachi Dinner For 2 + Cocktails,59,pulsd.com/new-york/promotions/flame-hibachi-dinner-restaurant-nyc,4.4,578,Flame Hibachi,"381 3rd Avenue, New York, NY","People say this Japanese restaurant offers delicious hibachi, sushi, and dumplings. They also highlight the fun and entertaining atmosphere, and the friendly and attentive service.

Other reviews mention the food can be salty."
$59 90m Bottomless Brunch For Two. NoMad,59,pulsd.com/new-york/promotions/bazar-bottomless-brunch-nyc,4.4,1192,Bazar NoMad,"31 W 26th Street, New York, NY 10010","People say this tapas restaurant serves delicious paella, bone marrow, and truffle fries. They also highlight the friendly staff, amazing drinks, and live music.

Other reviews mention the food can be salty."
$55 Spanish Style Bottomless Brunch For Two,55,pulsd.com/new-york/promotions/pil-pil-bottomless-brunch-restaurant-nyc,4.4,1320,Pil Pil,"265 E 78th Street, New York, NY 10075","People say this Spanish restaurant offers delicious tapas, including patatas bravas, calamari, and croquettes, as well as a popular unlimited brunch. They also highlight the reasonable prices, fun and artsy atmosphere, and friendly, attentive service.

Other reviews mention the sangria can be bland."
$49 3 Course Michelin Chef Dinner For 2,49,pulsd.com/new-york/promotions/saar-restaurant-michelin-chef-dinner-nyc,4.4,1509,Saar,"241 W 51st Street, New York, NY 10019","People say this Indian restaurant offers delicious butter chicken, chicken korma, and garlic naan. They also highlight the attentive staff, fast service, and modern decor.

Other reviews mention the food can be overpriced."
"$49 Bottomless Brunch For Two, Williamsburg",49,pulsd.com/new-york/promotions/casa-andrea-bottomless-brunch-nyc,4.4,262,Casa Andrea,"318 Grand Street , Brooklyn, NY 11211","People say this Peruvian restaurant serves delicious rotisserie chicken, choros a la chalaca, and tuna tartare. They also highlight the generous portions, great value, and fast service.

Some reviews mention the beans can be watery."
"$49 3 Course Dinner For 2 + Cocktails, Wine",49,pulsd.com/new-york/promotions/beebes-boro-hotel-dinner-restaurant-nyc,4.4,465,Beebe's,"38-28 27th Street, Queens, NY 11101","People say this pizza restaurant serves delicious pizza, including the Campfire and Margherita pizzas, and pepperoni chips. They also highlight the friendly and accommodating staff, and the chill and calm vibe with nice music.

Other reviews mention the service can be slow."
$49 2 5-Star Dinner For 2 & Wine Bottle,49,pulsd.com/new-york/promotions/adoro-lei-dinner-nyc,4.4,881,Adoro Lei,"287 Hudson Street, New York, NY 10013","People say this pizza restaurant offers a fun, hands-on pizza-making experience and delicious pizzas. They also highlight the lively, energetic atmosphere, and the friendly, attentive service.

Other reviews mention the food can be overpriced."
$49 Gourmet 90 Min Bottomless Brunch For Two,49,pulsd.com/new-york/promotions/the-stand-bottomless-brunch-nyc,4.4,1665,The Stand,"116 East 16th Street, New York, NY, 10003","People say this comedy club offers delicious pizza, drinks, and stand-up comedy shows. They also highlight the friendly staff, fun atmosphere, and good value, especially during happy hour.

Other reviews mention the service can be slow."
$49 Chef's Tasting For 2 w A Bottle Of Wine,49,pulsd.com/new-york/promotions/madam-ji-dinner-nyc,4.4,989,Madam Ji Ki Shaadi,"154 Bleecker Street , New York, NY 10012","Diners say this Indian restaurant serves up delicious lamb burgers, Chole Bhature, and Pav Bhaji sliders, and they praise the bottomless brunch cocktails. They also highlight the attentive and friendly service, and the lively and enjoyable atmosphere with Bollywood music.

Some reviews mention the prices can be high."
"$49 Bottomless Brunch For Two, G Village",49,pulsd.com/new-york/promotions/madam-ji-bottomless-brunch-nyc,4.4,989,Madam Ji Ki Shaadi,"154 Bleecker Street , New York, NY 10012","Diners say this Indian restaurant serves up delicious lamb burgers, Chole Bhature, and Pav Bhaji sliders, and they praise the bottomless brunch cocktails. They also highlight the attentive and friendly service, and the lively and enjoyable atmosphere with Bollywood music.

Some reviews mention the prices can be high."
$45 Charming Dinner For Two & Wine Bottle,45,pulsd.com/new-york/promotions/jane-doe-dinner-nyc,4.4,408,Jane Doe,"12 West 44th St, New York, NY. 10036","People say this bar offers delicious oysters, inventive cocktails, and a variety of other dishes, including sliders, tacos, and lobster mac and cheese. They also highlight the great happy hour deals, reasonable prices, and charming, elegant atmosphere.

Other reviews mention the service can be slow."
"$45 Luxe Cocktail Brunch For 2, Midtown",45,pulsd.com/new-york/promotions/bistango-cocktail-brunch-nyc,4.4,619,Bistango At The Kimberly Hotel,"145 East 50th Street, New York, NY 10022",
"$39 Bottomless Brunch For Two, Midtown",39,pulsd.com/new-york/promotions/jane-doe-bottomless-brunch-nyc,4.4,408,Jane Doe,"12 West 44th St, New York, NY. 10036","People say this bar offers delicious oysters, inventive cocktails, and a variety of other dishes, including sliders, tacos, and lobster mac and cheese. They also highlight the great happy hour deals, reasonable prices, and charming, elegant atmosphere.

Other reviews mention the service can be slow."
$39 Glamorous Cocktail Brunch For Two In SoHo,39,pulsd.com/new-york/promotions/the-otter-brunch-restaurant-soho-nyc,4.4,84,The Otter,"58 Thompson Street , New York, NY 10012","People say this seafood restaurant serves delicious seafood platters, scallops, swordfish steak, and burgers. They highlight the fresh ingredients, complex flavors, and innovative dishes, as well as the cozy and stylish atmosphere. They also like the attentive and friendly service."
$39 Upper East Side Oysters & Martinis For 2,39,pulsd.com/new-york/promotions/festival-oysters-martini-restaurant-upper-east-side-nyc,4.4,391,FESTIVÁL,"1155 2nd Avenue, New York, NY 10065","Diners say this new American restaurant serves up delicious burgers, oysters, and espresso martinis. They also highlight the friendly staff, great service, and cozy, eclectic vibes.

Some reviews mention the prices can be high."
$39 Oysters & Wine Experience For Two,39,pulsd.com/new-york/promotions/alison-east-village-oysters-wine-nyc,4.4,54,Alison Downtown,"110 St Marks Place, New York, New York 10009","People say this bistro offers delicious oysters, chicken sliders, burgers, and fried calamari. They highlight the relaxed atmosphere, quick service, and generous portions. They also like the friendly and attentive staff."
$39 For A 2 Hour Bottomless Brunch For Two,39,pulsd.com/new-york/promotions/au-bar-56-bottomless-brunch-restaurant-nyc,4.4,108,Au Bar 56,"235 W 56th Street, New York, NY 10019","People say this restaurant offers delicious cocktails, including an espresso martini, and a variety of appetizers. They also highlight the intimate and cozy atmosphere, the live music, and the friendly and attentive service.

Other reviews mention the food can be overpriced."
$29 Dinner For Two & A Bottle of Wine,29,pulsd.com/new-york/promotions/ghandi-cafe-restaurant-dinner-nyc,4.4,528,Ghandi Cafe,"283 Bleecker Street, New York, NY 10014","People say this Indian restaurant serves delicious dishes like samosa chaat, chicken tikka masala, and lamb biryani. They also highlight the great value, the friendly and attentive service, and the charming, casual atmosphere.

Some reviews mention the portions can be small."
$29 For A 2 Course Bottomless Brunch For Two,29,pulsd.com/new-york/promotions/mexiterranean-grill-bottomless-brunch-restaurant-nyc,4.4,121,Mexiterranean Grill,"1365 1st Avenue, New York, NY 10021",
29% Off 5Crs Dinner Yacht Cruise + Wines/Beer,,pulsd.com/new-york/promotions/nyc-water-cruises-dinner-cruise-nyc,4.3,8571,Pier 36,"299 South St, New York, NY 10002","People say this event venue offers a variety of boat rides, including cruises to see the Statue of Liberty, and hosts events like art expos and boat parties. They also highlight the great views of the city skyline, the fun and lively atmosphere, and the attentive staff on the boats.

Other reviews mention the food can be disappointing."
$79: 3 Course Dinner For Two & Bottle Of Wine,79,pulsd.com/new-york/promotions/tio-pepe-dinner-restaurant-greenwich-village-nyc,4.3,645,Tio Pepe,"168 West 4th Street, New York, NY 10014",
"$79 3 Course Dinner For Two w Cocktails, Wine",79,pulsd.com/new-york/promotions/dk-restaurant-dinner-nyc,4.3,617,DK Restaurant,"207 W 36th Street, New York, NY 10018","People say this steakhouse serves delicious porterhouse, ribeye, and tomahawk steaks, as well as seafood options like shrimp cocktail and scallops. They also highlight the friendly and welcoming staff, the attentive service, and the old-school, classy atmosphere.

Other reviews mention the food can be overpriced."
"$69 3Crs Dinner For2 & Cocktails, Wine Bottle",69,pulsd.com/new-york/promotions/blend-williamsburg-dinner-restaurant-nyc,4.3,1191,Blend Williamsburg,"291 Kent Avenue, Brooklyn, NY 11249","People say this Latin American restaurant serves delicious skirt steak, salmon, and arepas. They also highlight the fun, energetic vibe, the beautiful rooftop, and the friendly, attentive staff.

Other reviews mention the food can be cold."
"$69 3Crs Dinner For 2 w Cocktails, Wine, Beer",69,pulsd.com/new-york/promotions/bijans-dinner-restaurant-nyc,4.3,1259,Bijan's,"81 Hoyt Street, Brooklyn, NY 11211","Diners say this New American restaurant serves up delicious Persian Beef Stew, lamb burgers, wings, and a standout beet salad. They also highlight the cozy ambiance with a fireplace, friendly staff, and great cocktails.

Some reviews mention the service can be slow."
"$59 3Crs Dinner For 2 w Cocktails, Wine, Beer",59,pulsd.com/new-york/promotions/ichibantei-dinner-restaurant-nyc,4.3,653,Ichibantei,"100 3rd Avenue, New York, NY 10003","People say this Japanese restaurant serves delicious chicken katsu, niku udon, and tonkatsu. They also highlight the fair prices, great vibe, and friendly staff.

Other reviews mention the food can be inconsistent."
$59 For A Central Park Picnic Package For Two,59,pulsd.com/new-york/promotions/pappardella-central-park-picnic,4.3,1566,Pappardella,"316 Columbus Avenue, New York, NY","People say this Italian restaurant serves delicious lasagna, pizza, and veal, and offers a gluten-free menu. They also highlight the generous portions, reasonable prices, and friendly, attentive service.

Other reviews mention the wait can be long."
"$59 Bottomless Brunch For Two, NoMad",59,pulsd.com/new-york/promotions/mamazul-bottomless-brunch-restaurant-nyc,4.3,1173,Mamazul,"1155 Broadway, New York, NY 10001","People say this Mexican restaurant offers delicious birria tacos, ceviche, and street corn. They also highlight the fun and vibrant atmosphere, and the attentive and friendly service.

Other reviews mention the portions can be small."
"$55 4 Course Dinner For 2 w Cocktails, Wines",55,pulsd.com/new-york/promotions/catria-cucina-dinner-restaurant-nyc,4.3,152,Catria Cucina,"461 W 34th Street , New York, NY 10001","People say this Italian restaurant serves delicious dishes like penne a la vodka, steak chimichurri, and almond cake. They also highlight the comfortable and modern ambiance, appealing table settings, and kind, helpful, and accommodating service.

Other reviews mention the food can be bland."
$49 Greenwich Village Bottomless Brunch For 2,49,pulsd.com/new-york/promotions/tio-pepe-bottomless-brunch-restaurant-greenwich-village-nyc,4.3,645,Tio Pepe,"168 West 4th Street, New York, NY 10014",
"$49 Seaport Dinner For 2 w Cocktails, Wines",49,pulsd.com/new-york/promotions/cowgirl-seahorse-dinner-restaurant-nyc,4.3,1381,Cowgirl SeaHorse,"259 Front Street, New York, NY 10038",
"$49 2Hr Bottomless Brunch For 2, Williamsburg",49,pulsd.com/new-york/promotions/mamasushi-bottomless-brunch-restaurant-nyc,4.3,194,MamaSushi,"391 Hooper Street, Brooklyn, NY 11211","People say this Asian fusion restaurant offers a wide selection of sushi rolls, and the drinks are visually appealing. They also highlight the friendly and attentive service, and the welcoming and fun vibes.

Other reviews mention the food can be disappointing."
