pulsd_title,pulsd_price,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary,pulsd_url
"$99: 3 Course Dinner For 2 w Cocktails, Wines",99,4.4,655,KYU NYC,"324 Lafayette Street , New York, NY 10012,","People say this Asian restaurant serves delicious Korean fried chicken, tuna crispy rice, and short rib. They also highlight the attentive staff, aesthetic bar, and cozy ambiance.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/kyu-dinner-restaurant-nyc
"$89: 3 Course Dinner For 2 w Cocktails, Wines",89,4.4,84,The Otter,"58 Thompson Street , New York, NY 10012","People say this seafood restaurant serves delicious seafood platters, scallops, swordfish steak, and burgers. They highlight the fresh ingredients, complex flavors, and innovative dishes, as well as the cozy and stylish atmosphere. They also like the attentive and friendly service.",pulsd.com/new-york/promotions/the-otter-dinner-restaurant-soho-nyc
"$89 3 Course Dinner For Two & Cocktails, Wine",89,4.4,690,Kahlo,"525 West 29th Street, New York, NY 10001","People say this Mexican restaurant serves delicious and creative dishes, including tacos, guacamole, and branzino. They also highlight the beautiful and cozy atmosphere, and the friendly and attentive staff.

Other reviews mention the portions can be small.",pulsd.com/new-york/promotions/kahlo-dinner-restaurant-chelsea-nyc
"$79 3Crs Dinner For 2 with Cocktails, & Wines",79,4.4,406,Rebèl Restaurant,"29 Clinton Street, New York, NY 10002","Diners say this Haitian restaurant serves up delicious mussels, legume with shrimp, sos pwa, and herring. They also highlight the great music, clean atmosphere, and excellent customer service.

Some reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/rebel-dinner-restaurant-nyc
$79 3Crs Dinner For Two & Bottle Of Wine,79,4.4,774,Ocabanon,"245 West 29th Street, New York, NY 10001",,pulsd.com/new-york/promotions/ocabanon-chelsea-restaurant-dinner-nyc
$79 3 Course Dinner For 2 w A Bottle of Wine,79,4.4,54,Alison Downtown,"110 St Marks Place, New York, New York 10009","People say this bistro offers delicious oysters, chicken sliders, burgers, and fried calamari. They highlight the relaxed atmosphere, quick service, and generous portions. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/alison-east-village-dinner-restaurant-nyc
"$69: 3 Course Dinner For 2 w Cocktails, Wines",69,4.4,671,Barano,"26 Broadway, Brooklyn, NY 11249","People say this Italian restaurant serves delicious pasta, pizza, and meatballs. They also highlight the cozy and romantic atmosphere, and the friendly and attentive service.

Some reviews mention there can be long wait times.",pulsd.com/new-york/promotions/barano-dinner-restaurant-williamsburg-nyc
"$69 3 Course Dinner For Two with Wines, Beers",69,4.4,1248,Amarone Restaurant,"686 9th Avenue , New York, NY 10036","Diners say this Italian restaurant serves up delicious pasta dishes, spinach tortellini, and a standout pear dessert. They also highlight the friendly and attentive service, and the reasonable prices.

Some reviews mention the calamari can be overcooked.",pulsd.com/new-york/promotions/amarone-restaurant-dinner-nyc
"$69 3Crs Dinner For 2 w Wine/Cocktails, Music",69,4.4,108,Au Bar 56,"235 W 56th Street, New York, NY 10019","People say this restaurant offers delicious cocktails, including an espresso martini, and a variety of appetizers. They also highlight the intimate and cozy atmosphere, the live music, and the friendly and attentive service.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/au-bar-56-dinner-restaurant-nyc
"$69 MichelinGuide 3Crs Dinner For2, Wine",69,4.4,2314,Il Cortile,"125 Mulberry Street, New York, NY 10013","Diners say this Italian restaurant serves up delicious tiramisu, eggplant parmigiana, and cheese ravioli, and they praise the beautiful back atrium and outdoor seating. They also highlight the friendly and attentive service, and the romantic and inviting atmosphere.

Some reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/il-cortile-dinner-nyc
$69 3Crs Dinner For 2 & Cocktails/Wines,69,4.4,598,Biricchino,"260 W 29th Street , New York, NY 10001","Diners say this Italian restaurant serves up delicious pasta, including the pappardelle pasta funghi, and breaded chicken with arugula. They also highlight the friendly and helpful staff, and the cozy and welcoming atmosphere.

Some reviews mention the service can be slow.",pulsd.com/new-york/promotions/biricchino-dinner-restaurant-nyc
$59 3 Course Hibachi Dinner For 2 + Cocktails,59,4.4,578,Flame Hibachi,"381 3rd Avenue, New York, NY","People say this Japanese restaurant offers delicious hibachi, sushi, and dumplings. They also highlight the fun and entertaining atmosphere, and the friendly and attentive service.

Other reviews mention the food can be salty.",pulsd.com/new-york/promotions/flame-hibachi-dinner-restaurant-nyc
$49 3 Course Michelin Chef Dinner For 2,49,4.4,1509,Saar,"241 W 51st Street, New York, NY 10019","People say this Indian restaurant offers delicious butter chicken, chicken korma, and garlic naan. They also highlight the attentive staff, fast service, and modern decor.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/saar-restaurant-michelin-chef-dinner-nyc
"$49 3 Course Dinner For 2 + Cocktails, Wine",49,4.4,465,Beebe's,"38-28 27th Street, Queens, NY 11101","People say this pizza restaurant serves delicious pizza, including the Campfire and Margherita pizzas, and pepperoni chips. They also highlight the friendly and accommodating staff, and the chill and calm vibe with nice music.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/beebes-boro-hotel-dinner-restaurant-nyc
$49 2 5-Star Dinner For 2 & Wine Bottle,49,4.4,881,Adoro Lei,"287 Hudson Street, New York, NY 10013","People say this pizza restaurant offers a fun, hands-on pizza-making experience and delicious pizzas. They also highlight the lively, energetic atmosphere, and the friendly, attentive service.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/adoro-lei-dinner-nyc
$49 Chef's Tasting For 2 w A Bottle Of Wine,49,4.4,989,Madam Ji Ki Shaadi,"154 Bleecker Street , New York, NY 10012","Diners say this Indian restaurant serves up delicious lamb burgers, Chole Bhature, and Pav Bhaji sliders, and they praise the bottomless brunch cocktails. They also highlight the attentive and friendly service, and the lively and enjoyable atmosphere with Bollywood music.

Some reviews mention the prices can be high.",pulsd.com/new-york/promotions/madam-ji-dinner-nyc
$45 Charming Dinner For Two & Wine Bottle,45,4.4,408,Jane Doe,"12 West 44th St, New York, NY. 10036","People say this bar offers delicious oysters, inventive cocktails, and a variety of other dishes, including sliders, tacos, and lobster mac and cheese. They also highlight the great happy hour deals, reasonable prices, and charming, elegant atmosphere.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/jane-doe-dinner-nyc
$39 Upper East Side Oysters & Martinis For 2,39,4.4,391,FESTIVÁL,"1155 2nd Avenue, New York, NY 10065","Diners say this new American restaurant serves up delicious burgers, oysters, and espresso martinis. They also highlight the friendly staff, great service, and cozy, eclectic vibes.

Some reviews mention the prices can be high.",pulsd.com/new-york/promotions/festival-oysters-martini-restaurant-upper-east-side-nyc
$39 Oysters & Wine Experience For Two,39,4.4,54,Alison Downtown,"110 St Marks Place, New York, New York 10009","People say this bistro offers delicious oysters, chicken sliders, burgers, and fried calamari. They highlight the relaxed atmosphere, quick service, and generous portions. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/alison-east-village-oysters-wine-nyc
$29 Dinner For Two & A Bottle of Wine,29,4.4,528,Ghandi Cafe,"283 Bleecker Street, New York, NY 10014","People say this Indian restaurant serves delicious dishes like samosa chaat, chicken tikka masala, and lamb biryani. They also highlight the great value, the friendly and attentive service, and the charming, casual atmosphere.

Some reviews mention the portions can be small.",pulsd.com/new-york/promotions/ghandi-cafe-restaurant-dinner-nyc
29% Off 5Crs Dinner Yacht Cruise + Wines/Beer,,4.3,8571,Pier 36,"299 South St, New York, NY 10002","People say this event venue offers a variety of boat rides, including cruises to see the Statue of Liberty, and hosts events like art expos and boat parties. They also highlight the great views of the city skyline, the fun and lively atmosphere, and the attentive staff on the boats.

Other reviews mention the food can be disappointing.",pulsd.com/new-york/promotions/nyc-water-cruises-dinner-cruise-nyc
$79: 3 Course Dinner For Two & Bottle Of Wine,79,4.3,645,Tio Pepe,"168 West 4th Street, New York, NY 10014",,pulsd.com/new-york/promotions/tio-pepe-dinner-restaurant-greenwich-village-nyc
"$79 3 Course Dinner For Two w Cocktails, Wine",79,4.3,617,DK Restaurant,"207 W 36th Street, New York, NY 10018","People say this steakhouse serves delicious porterhouse, ribeye, and tomahawk steaks, as well as seafood options like shrimp cocktail and scallops. They also highlight the friendly and welcoming staff, the attentive service, and the old-school, classy atmosphere.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/dk-restaurant-dinner-nyc
"$69 3Crs Dinner For2 & Cocktails, Wine Bottle",69,4.3,1191,Blend Williamsburg,"291 Kent Avenue, Brooklyn, NY 11249","People say this Latin American restaurant serves delicious skirt steak, salmon, and arepas. They also highlight the fun, energetic vibe, the beautiful rooftop, and the friendly, attentive staff.

Other reviews mention the food can be cold.",pulsd.com/new-york/promotions/blend-williamsburg-dinner-restaurant-nyc
"$69 3Crs Dinner For 2 w Cocktails, Wine, Beer",69,4.3,1259,Bijan's,"81 Hoyt Street, Brooklyn, NY 11211","Diners say this New American restaurant serves up delicious Persian Beef Stew, lamb burgers, wings, and a standout beet salad. They also highlight the cozy ambiance with a fireplace, friendly staff, and great cocktails.

Some reviews mention the service can be slow.",pulsd.com/new-york/promotions/bijans-dinner-restaurant-nyc
"$59 3Crs Dinner For 2 w Cocktails, Wine, Beer",59,4.3,653,Ichibantei,"100 3rd Avenue, New York, NY 10003","People say this Japanese restaurant serves delicious chicken katsu, niku udon, and tonkatsu. They also highlight the fair prices, great vibe, and friendly staff.

Other reviews mention the food can be inconsistent.",pulsd.com/new-york/promotions/ichibantei-dinner-restaurant-nyc
$59 For A Central Park Picnic Package For Two,59,4.3,1566,Pappardella,"316 Columbus Avenue, New York, NY","People say this Italian restaurant serves delicious lasagna, pizza, and veal, and offers a gluten-free menu. They also highlight the generous portions, reasonable prices, and friendly, attentive service.

Other reviews mention the wait can be long.",pulsd.com/new-york/promotions/pappardella-central-park-picnic
"$55 4 Course Dinner For 2 w Cocktails, Wines",55,4.3,152,Catria Cucina,"461 W 34th Street , New York, NY 10001","People say this Italian restaurant serves delicious dishes like penne a la vodka, steak chimichurri, and almond cake. They also highlight the comfortable and modern ambiance, appealing table settings, and kind, helpful, and accommodating service.

Other reviews mention the food can be bland.",pulsd.com/new-york/promotions/catria-cucina-dinner-restaurant-nyc
"$49 Seaport Dinner For 2 w Cocktails, Wines",49,4.3,1381,Cowgirl SeaHorse,"259 Front Street, New York, NY 10038",,pulsd.com/new-york/promotions/cowgirl-seahorse-dinner-restaurant-nyc
"$49 Endless Drinks & Tacos For2, Williamsburg",49,4.3,1191,Blend Williamsburg,"291 Kent Avenue, Brooklyn, NY 11249","People say this Latin American restaurant serves delicious skirt steak, salmon, and arepas. They also highlight the fun, energetic vibe, the beautiful rooftop, and the friendly, attentive staff.

Other reviews mention the food can be cold.",pulsd.com/new-york/promotions/blend-williamsburg-bottomless-dinner-unlimited-tacos-nyc
$45 Seafood Boil Feast For 2 w Cocktails/Wine,45,4.3,359,Shaking Crab Williamsburg,"1045 Flushing Avenue, Brooklyn, NY 11237","People say this seafood restaurant serves fresh and delicious seafood boils, lobster mac and cheese, and banana pudding. They also highlight the friendly and attentive staff, the upbeat music, and the ability to customize seafood boils.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/shaking-crab-williamsburg-dinner-brunch-lunch-restaurant-nyc
$39 2 Crs Dinner For Two With Wines/Cocktails,39,4.3,78,Salud,"183 Grand Street, New York, NY 10013","People say this restaurant offers creative cocktails and elevated small bites. They highlight the vibrant and energetic atmosphere, and the friendly and attentive staff. They also like the cozy and bohemian feel.",pulsd.com/new-york/promotions/salud-soho-dinner-restaurant-nyc
$39 Rooftop Cocktails & Bites Experience,39,4.3,241,Vue 180,"525 8th Avenue, New York, NY 10018","People say this bar offers delicious drinks, including an old fashioned made with Buffalo Trace, and a variety of appetizers like beef satay skewers and nachos. They also highlight the great prices, especially during happy hour, and the beautiful views of the city from the rooftop.

Other reviews mention the food can be inconsistent.",pulsd.com/new-york/promotions/vue-180-cocktails-bites-experience-rooftop-nyc
"$39 Dinner For Two & Wine/Beers, East Village",39,4.3,437,Whitmans East Village,"406 E 9th Street, New York, NY 10009",,pulsd.com/new-york/promotions/whitmans-east-village-dinner-restaurant-nyc
$29 Touchdown Dinner For Two With Drinks,29,4.3,3188,Madd Hatter,"221 Washington Street, Hoboken, NJ 07030","People say this bar and grill offers delicious wings, mac and cheese, and brunch options, as well as great drink specials and screwdrivers. They also highlight the fun, lively atmosphere, perfect for watching football, and the friendly, attentive staff and bartenders.

Other reviews mention the drinks can be expensive.",pulsd.com/new-york/promotions/madd-hatter-dinner-restaurant-nyc
$29 Tix: Champagne & Sparkling Wine Tasting,29,4.3,51,Le Du Wines,"600 Washington Street, New York, NY",,pulsd.com/new-york/promotions/le-du-wines-champagne-sparkling-wines-tasting
Rooftop VDay For 2 + Champagne Bottle & More,,4.2,1593,Elsie Rooftop,"1412 Broadway, 25th Floor, New York, NY 10018","People say this lounge offers amazing food and a fun salsa dancing floor. They also highlight the stunning views, lively vibe, and friendly staff.

Other reviews mention the drinks can be overpriced.",pulsd.com/new-york/promotions/elsie-rooftop-valentines-day-experience-nyc
$85 Eataly Alpine Winter Wine & Food Festival,85,4.2,6199,Eataly NYC Downtown,"4 World Trade Center, 101 Liberty St., 3rd Floor, New York, NY","People say this Italian restaurant offers delicious lasagna, fresh pasta, and focaccia. They also highlight the friendly staff, the vibrant atmosphere, and the wide selection of Italian groceries.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/eataly-2026-alpine-food-wine-festival-nyc
$79 Speakeasy Burlesque Experience For 2,79,4.2,71,Adélaïde’s Salon,"176 8th Avenue, Manhattan NY, 10011",,pulsd.com/new-york/promotions/adelaides-salon-speakeasy-burlesque-cocktail-experience-nyc
$49 Dinner For 2 & Cocktails/Wines/Beers,49,4.2,6051,SEA,"114 North 6th Street, New York, NY 11211","Diners say this Thai restaurant serves up delicious drunken noodles, crispy seafood salad, and red curry with crispy duck. They also highlight the beautiful interior, spacious layout, and friendly, attentive service.

Some reviews mention the music can be loud.",pulsd.com/new-york/promotions/sea-thai-dinner-restaurant-nyc
"$49 3Crs Dinner For 2 & Cocktails, Wine, Beer",49,4.2,1070,Jalao,"2420 Amsterdam Avenue, New York, NY 10033","People say this restaurant serves delicious Dominican food, including skirt steak, oxtail, and chicharrón. They also highlight the lively atmosphere, great music, and friendly service.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/jalao-dinner-restaurant-nyc
"$49 Endless Drinks & Tacos For Two, Astoria",49,4.2,2197,Blend Astoria,"37-17 30th Avenue, Astoria, NY 11103","People say this Latin American restaurant serves delicious tilapia, fried rice, and salmon, and offers a variety of tasty desserts. They also highlight the lively atmosphere, friendly staff, and good drinks.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/blend-astoria-bottomless-drinks-and-tacos-nyc
$49 3Crs Dinner For 2 & Cocktails/Wines,49,4.2,2403,Bourbon Street,"40-12 Bell Boulevard, Bayside, NY 11361","People say this restaurant offers delicious Cajun and Creole dishes, including jambalaya, gumbo, and blackened seafood, as well as a variety of cocktails and beers. They also highlight the lively and festive atmosphere, often with live music, and the friendly service.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/bourbon-street-dinner-restaurant-nyc
$39 Penthouse Dinner For 2 w Cocktails/Wines,39,4.2,113,The Ivy Room,"420 Park Ave South, New York, NY 10016","Diners say this restaurant serves up delicious steak frites, burgers, and an impressive old fashioned. They also highlight the intimate and charming atmosphere, complete with live music and a cozy fireplace.

Some reviews mention the service can be slow.",pulsd.com/new-york/promotions/the-ivy-room-dinner-restaurant-nyc
$29 Ticket: Rooftop Super Bowl Open Bar Party,29,4.2,1594,Elsie Rooftop,"1412 Broadway, 25th Floor, New York, NY 10018","People say this lounge offers amazing food and strong drinks. They also highlight the beautiful venue, great views, and fun atmosphere, especially during themed nights.

Some reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/2026-elsie-rooftop-open-bar-super-bowl-party-nyc
$29 For A Dinner for 2 With Drinks,29,4.2,274,North Sea Tavern,"1271 N Sea Road, Southampton, NY 11968",,pulsd.com/new-york/promotions/north-sea-tavern-dinner-hamptons-ny
The Dubai Frozen Hot Chocolate Experience,,4.1,6486,Serendipity 3,"225 East 60th Street , New York, NY 10022","People say this American restaurant serves delicious frozen hot chocolate, banana splits, and sundaes. They also highlight the fun, whimsical atmosphere, and the friendly, attentive staff.

Other reviews mention the food can be pricey.",pulsd.com/new-york/promotions/serendipity-3-upper-east-side-date-night-restaurant-nyc
"$69 3Crs Dinner For 2 + Cocktails, Wine, Beer",69,4.1,1089,The Butchers Daughter - Williamsburg,"271 Metropolitan Avenue, Brooklyn, NY 11211","People say this vegetarian restaurant offers delicious brunch, with a nice menu selection, and flavorful dishes. They also highlight the friendly staff, chill vibes, and great drinks, including juices and lattes.

Other reviews mention the portions can be small.",pulsd.com/new-york/promotions/the-butchers-daughter-williamsburg-dinner-restaurant-nyc
"$69 3Crs Dinner For 2 With Cocktails, Wines",69,4.1,84,The Lobby Bar & Garden,"518 W 27th Street, New York, NY 10001",,pulsd.com/new-york/promotions/lobby-bar-and-garden-dinner-restaurant-nyc
$59 Rooftop Cocktails & Bonfire Fondue For 2,59,4.1,450,Sandbar Rooftop,"152 West 26th Street, New York, NY 10001","People say this lounge offers great cocktails and a small food menu with options like cheese fondue, s'mores, and pinsa-style pizzas. They also highlight the reasonable prices, the relaxed and comfortable atmosphere, and the fantastic views of the city, including the Empire State Building.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/sandbar-rooftop-cocktails-fondue-experience-nyc
$59 3Crs Dinner For 2 w Wine Bottle/Cocktails,59,4.1,341,Baazi,"2588 Broadway , New York, NY 10025","People say this restaurant serves delicious and creative Indian dishes with diverse flavors. They also highlight the mid-range prices and pleasant atmosphere.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/baazi-dinner-restaurant-nyc
$59 Celeb-Pick 3 Crs Dinner For 2 & Cocktails,59,4.1,1338,Pink Taco,"7 Times Square, New York, NY 10036","People say this Mexican restaurant offers a good selection of tacos, including the OG Pink Taco and cauliflower taco, as well as a delicious chicken Caesar salad. They also highlight the friendly and attentive service, and the fun, lively atmosphere.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/pink-taco-dinner-restaurant-nyc
$55 3 Course Dinner For Two + Sangria Pitcher,55,4.1,1239,Umberto's Clam House,"132 Mulberry Street, New York, NY 10013","Diners say this Italian restaurant serves delicious clams, pasta, and pizza, and they praise the fresh seafood. They also highlight the friendly and attentive service, and the authentic Italian atmosphere, especially in the outdoor seating area.

Some reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/umbertos-clam-house-dinner-nyc
$49 3 Course Dinner For 2 & Wines/Beers,49,4.1,117,Han Dynasty Long Island City,"4504 Pearson Street, Long Island City, NY 11101","People say this Chinese restaurant serves delicious Dan Dan noodles, dry pepper chicken, and tofu pot. They also highlight the good value, spacious dining area with beautiful art, and attentive service.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/han-dynasty-long-island-city-dinner-restaurant-nyc
$49 AYCE/AYCD Tacos & Drinks Dinner For Two,49,4.1,10,H&H Cantina,"103 1st Avenue, New York, NY 10003",,pulsd.com/new-york/promotions/h-and-h-cantina-drinks-and-tacos-dinner-restaurant-east-village-nyc
$39 Dinner For 2 & Cocktails/Wines/Beers,39,4.1,917,Chote Nawab,"115 Lexington Avenue, New York, NY 10016","People say this Indian restaurant serves delicious and flavorful dishes, including uncommon options like chicken with green chili and coconut, and lamb biryani. They also highlight the reasonable prices, quick service, and the warm and attentive staff.

Other reviews mention the food can be inconsistent.",pulsd.com/new-york/promotions/chote-nawab-dinner-nyc
$39 Dinner For 2 & Cocktails/Wines/Beers,39,4.1,563,Malai Marke,"318 E 6th Street, New York, NY 10003",,pulsd.com/new-york/promotions/malai-marke-dinner-nyc
$39 Dinner For 2 & Cocktails/Wine/Beers,39,4.1,1656,The Grand,"37-01 30th Avenue, Astoria, NY 11103","People say this restaurant offers delicious mac and cheese balls, chicken and waffles, and lemon pepper chicken wings. They also highlight the chill vibe, friendly and attentive service, and the charismatic barista.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/the-grand-dinner-restaurant-nyc
Speakeasy 12 Crs Cocktail Omakase Experience,,4,4,F&Bar,"705 Myrtle Avenue, Brooklyn, NY 11205",,pulsd.com/new-york/promotions/f-and-bar-speakeasy-omakase-dinner-nyc
"Michelin Guide 4 Crs Dinner, Dessert, Drinks",,4,720,La Devozione,"428 W 16th Street, New York, NY 10011","People say this restaurant serves delicious, authentic Italian pasta, including carbonara and tasting menus. They also highlight the lively atmosphere, the attentive service, and the fun experience of sitting at the oval overlooking the kitchen.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/la-devozione-the-oval-dinner-restaurant-nyc
"$69 3Crs Dinner For 2, Wine Bottle, Cocktails",69,4,58,Boathouse Rooftop,"32-72 Steinway Street, Astoria, NY 11103","People say this restaurant offers delicious braised short ribs, ribeye steak, and lamb chops, as well as a variety of drinks and hookah flavors. They also highlight the beautiful decor, stunning rooftop views, and attentive service.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/boathouse-rooftop-dinner-restaurant-nyc
"$69 3Crs Dinner For 2 + Cocktails, Wine, Beer",69,4,2112,The Butcher's Daughter - Nolita,"19 Kenmare Street, New York NY 10012","People say this vegetarian restaurant serves delicious food, especially the pepperoni pizza, surfer burrito, and avocado toast. They also highlight the fresh, healthy ingredients, and the friendly, attentive service.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/the-butchers-daughter-nolita-dinner-restaurant-nyc
$59 3 Course Dinner For 2 With Cocktails,59,4,442,Lowkey Garden Lounge,"70-15 Austin Street, Queens, NY 11375","People say this restaurant offers amazing omelettes and other brunch dishes, as well as good drinks and hookah. They also highlight the cute and aesthetically pleasing setup, the fun and playful vibe, and the attentive service from the staff.

Other reviews mention the music can be loud.",pulsd.com/new-york/promotions/lowkey-garden-lounge-restaurant-dinner-nyc
$49 For A 2 Course Dinner For 2 w Wine,49,4,522,Inti Restaurant,"820 10th Avenue, New York, NY 10019","Diners say this Peruvian restaurant serves up delicious lomo saltado, Peruvian chicken, and pisco sours. They also highlight the friendly service, lively atmosphere, and authentic Peruvian flavors.

Some reviews mention the service can be slow.",pulsd.com/new-york/promotions/inti-restaurant-dinner-nyc
$39 Dinner For 2 & Cocktails/Wines/Beer,39,4,969,Masala King,"64 E 34th Street, New York, NY 10016","People say this Indian restaurant serves delicious butter chicken, naan, and tandoori chicken. They also highlight the generous portion sizes, fresh ingredients, and authentic flavors.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/masala-king-nyc-dinner
New York Knicks Alumni Fest,,3.9,288,Pier 36,"299 South St, New York, NY 10002",,pulsd.com/pulses/61310
"$69 3 Crs Bottomless Dinner For Two, Astoria",69,3.9,91,Zikrayat,"24-17 Steinway Street , Astoria, NY 11103","People say this Middle Eastern restaurant offers a great buffet with delicious food. They also highlight the friendly staff, welcoming hospitality, and entertaining live music and belly dancing.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/zikrayat-bottomless-dinner-restaurant-nyc
"$59 3Crs Dinner For 2 & Cocktails, Wine, Beer",59,3.8,2684,The Heist,"60 W 37th Street, New York, NY 10018","People say this hotel offers spacious rooms with great city views, and a complimentary breakfast and evening reception with snacks and drinks.

Other reviews mention the elevators can be slow and the rooms can be small.",pulsd.com/new-york/promotions/the-heist-dinner-restaurant-nyc
"$59 Japanese Dinner For Two & Cocktails, Wine",59,3.8,25,Bliss Terasu,"6 Platt Street, New York, NY 10038",,pulsd.com/new-york/promotions/bliss-terasu-dinner-restaurant-nyc
"$39 Speakeasy Cocktail Experience For 2, UES",39,3.7,677,The UES.,"1707 Second Avenue, New York, NY 10128","People say this ice cream shop offers a fun speakeasy concept.

Other reviews mention the service can be slow and the staff can be inattentive.",pulsd.com/new-york/promotions/the-ues-speakeasy-cocktails-ice-cream-experience-nyc
"$29 Dinner For Two w Cocktails, Wines, Beers",29,3.7,100,GuestHouse,"265 Graham Avenue, Brooklyn, NY 11206","People say this restaurant offers delicious lamb chops, wings, and drinks, and has a great brunch experience.

Other reviews mention the food can be slow to arrive and the portions can be small.",pulsd.com/new-york/promotions/guesthouse-dinner-restaurant-nyc
Tyra Banks’ Smize & Dream Ice Cream Pop Up,,,,"New York, NY","New York, NY",,pulsd.com/pulses/61220
Fiasconaro Boutique Pop-up,,,,422 West Broadway,"422 West Broadway , New York, NY 10012",,pulsd.com/pulses/60487
pulsd Gift Cards,,,,"New York, NY","New York, NY",,pulsd.com/new-york/promotions/pulsd-gift-cards
Free Bagels,,,,"New York, NY","New York, NY",,pulsd.com/pulses/61308
$115 Membership To A Private Dinner Club,115,,,"New York, NY","New York, NY",,pulsd.com/new-york/promotions/2023-tasting-collective-dinner-club-membership-nyc
